published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,47168615,null,"Citizen‐participatory nationwide survey of mountain streamwater chemistry in Japan in 2022: Comparison of nitrate concentrations with the 2003 survey",null,"[Soyoka Makino,Naoko Tokuchi,Daisuke Akaishi,Lina A. Koyama,Yukio Komai,Yoshimi Itaya,Nay Lin Maung,Kanae Ishimaru,Tomoki Oda,Rei Shibata,Shinya Numamoto]",null,null,"Abstract

Mountain streamwater chemistry is an effective indicator of forest condition. In 2022, we conducted a nationwide investigation of mountain streamwater chemistry in Japan, leveraging citizen‐participatory sampling. This approach involved 629 individuals with regular exposure to mountain and natural environments. Although our primary aim was to sample at locations from a 2003 study, we also welcomed samples from new sites. In total, 1414 streamwater samples were collected one time from each forested watershed at the baseflow condition. Our study focused on stream nitrate (NO<sub>3</sub><sup>−</sup>) concentration as a key indicator of anthropogenic nitrogen (N) loading impacts on forests. We compared NO<sub>3</sub><sup>−</sup> concentrations in 2022 with those from 2003 at identical sampling points. After excluding 179 points with evident human‐created features upstream, the mean NO<sub>3</sub><sup>−</sup> concentration in 2022 was 0.328 mg N L<sup>−1</sup> (n = 1236). Comparing data from 1088 points sampled in both years, the mean value in 2022 (0.324 mg N L<sup>−1</sup>) was significantly lower than that in 2003 (0.359 mg N L<sup>−1</sup>, p &lt; 0.05). Notably, 88.5% of sampling points showed differences within ±0.25 mg N L<sup>−1</sup>. The spatial distribution pattern of mountain stream NO<sub>3</sub><sup>−</sup> concentrations in 2022 did not consistently align with large cities, industrial areas, or N deposition sources. This unique approach marked the first nationwide participatory survey for collecting mountain streamwater in Japan. Our success in ensuring sample quality through accessible explanations, manuals, and videos demonstrates the potential of citizen science. However, the quantitative evaluation of scientific accuracy remains a forthcoming challenge.",null,Wiley,2024-04-22,null,"Ecological Research",null,null,null,null,eng,true,false,scientific_journal,true,null,10.1111/1440-1703.12465,0912-3814,1440-1703,null,null,false,disclosed
insert,merge,null,42372271,"芦生研究林のきのこ相: 過去の文献調査と2019-2021の現地調査から",芦生研究林のきのこ相：過去の文献調査と2019-2021の現地調査から,[赤石大輔],"[Daisuke Akaishi]",[lead],null,null,null,null,2023-04,森林研究,森林研究,82,null,1,15,jpn,true,null,scientific_journal,false,false,10.60409/forestresearch.82.0_1,null,null,http://hdl.handle.net/2433/282799,null,false,disclosed
insert,merge,null,42176223,"創発型ワークショップ手法を用いたオンライン環境教育の取り組み ― 将来世代と考える2030年の生態系 ―","Online Environmental Education using Emergence Workshop Methods","[時任 美乃理,赤石 大輔,法理 樹里,德地 直子]","[Minori TOKITO,Daisuke AKAISHI,Juri HORI,Naoko TOKUCHI]",null,null,null,null,"The Japanese Society of Environmental Education",2023-03-31,環境教育,"Japanese Journal of Environmental Education",32,1,1_58,64,jpn,true,null,scientific_journal,null,null,10.5647/jsoee.2214,0917-2866,2185-5625,https://www.jstage.jst.go.jp/article/jsoee/32/1/32_2214/_pdf,null,false,disclosed
insert,merge,null,53487253,null,"「京と森の学び舎」実施による近畿の若者世代を中心とした森里海アクションの推進 ―若者世代と自然をつなぐ会―",null,"[Daisuke Akaishi]",null,null,null,null,null,2022-10-14,null,自然保護助成基金助成成果報告書,null,null,null,null,null,null,null,scientific_journal,false,null,10.32215/pronatura.31.0_53,null,null,null,null,false,disclosed
insert,merge,null,36326011,自然保護活動等に関する世代間の参加意識の差とその要因,"Factors affecting different generations’ awareness and participation in nature conservation activities.","[赤石大輔,法理樹里,徳地直子]","[Daisuke Akaishi,Juri Hori,Naoko Tokuchi]",[lead],null,null,null,null,2022-02,地域自然史と保全,"Bulletin of Kansai Organization for Nature Conservation",43,2,105,122,null,true,null,scientific_journal,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,36742455,"フィールド科学教育・研究のためのフィールドワーク体験蓄積と サイバーフィジカル教育研究支援",フィールド科学教育・研究のためのフィールドワーク体験蓄積とサイバーフィジカル教育研究支援,"[中村 裕一,近藤 一晃,赤石 大輔,徳地 直子]","[Daisuke Akaishi]",null,null,null,null,"Japan Society of Information and Knowledge",2021-12-18,情報知識学会誌,情報知識学会誌,31,4,428,433,null,null,null,scientific_journal,false,null,10.2964/jsik_2021_054,0917-1436,1881-7661,https://www.jstage.jst.go.jp/article/jsik/31/4/31_2021_054/_pdf,null,false,disclosed
insert,merge,null,29385102,null,"Abundance and phenology of macrofungal fruiting bodies in central and northern Japan",null,"[Daisuke Akaishi]",null,null,null,null,null,2020-08,null,MYCOSCIENCE,61,6,331,336,null,true,false,scientific_journal,null,null,10.1016/J.MYC.2020.08.001,1340-3540,null,null,null,false,disclosed
insert,merge,null,26559928,コミュニティ意識が一般消費者の意識レベルにおける海岸清掃活動への参加意欲におよぼす影響,コミュニティ意識が一般市民の意識レベルにおける海岸清掃活動への参加意欲におよぼす影響,"[法理樹里,赤石大輔,徳地直子]","[Daisuke Akaishi]",null,null,null,null,null,2020-03-31,沿岸域学会,沿岸域学会誌,34,4,51,59,null,true,false,scientific_journal,false,null,10.57296/jaczs.32.4_51,null,null,null,null,false,disclosed
insert,merge,null,25351619,京都大学・日本財団主催：森里海シンポジウム後のアンケートから聞こえてきたこと,null,"[法理樹里,清水夏樹,赤石大輔,徳地直子]",null,null,null,null,null,null,2020-02,日本水産学会誌,null,86,1,34,36,null,false,false,scientific_journal,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,25351819,京都大学・日本財団主催：森里海シンポジウムの開催からみえてきたこと,null,"[法理樹里,清水夏樹,赤石大輔,徳地直子]",null,[corresponding],null,null,null,null,2019-11,日本水産学会誌,null,85,6,null,null,null,false,false,scientific_journal,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,10342944,null,"Genetic Structure of Dytiscus sharpi in North and South Hokuriku in Japan Inferred from Mitochondrial and Nuclear Gene Sequence",null,"[Nobuaki Nagata,Atsushi Ohwaki,Daisuke Akaishi,Teiji Sota]",null,null,null,null,"Zoological Society of Japan",2018-04-01,null,"Zoological Science",35,2,134,139,eng,true,false,scientific_journal,null,null,10.2108/zs170122,0289-0003,null,null,null,false,disclosed
insert,merge,null,10342346,null,"モモグロオオイエバエ<i>Muscina angustifrons</i> (Loew)幼虫の雑食性と捕食性",null,"[Daisuke Akaishi]",null,null,null,null,null,2014-12,null,衛生動物,65,4,195,199,eng,true,false,scientific_journal,false,null,10.7601/mez.65.195,null,null,null,null,false,disclosed
insert,merge,null,53487254,null,"Responses of Aquatic Insect, Terrestrial Arthropod, and Plant Biodiversity to the V-Furrow Direct Seeding Management in Rice Fields",null,"[Daisuke Akaishi]",null,null,null,null,null,2014,null,"SOCIAL-ECOLOGICAL RESTORATION IN PADDY-DOMINATED LANDSCAPES",null,null,null,null,null,null,null,scientific_journal,null,null,10.1007/978-4-431-55330-4_12,null,null,null,null,false,disclosed
insert,merge,null,10342904,過疎高齢化地域の老朽化・放棄ため池の新たな利活用創造に向けた取り組み．,"View of a New Utilization of Abandoned Small Reservoir in the Region of Depopulation and Aging","[嶺田拓也,吉迫 宏,赤石大輔]",null,null,null,null,農業土木学会,null,2013-08,農業農村工学会誌,null,81,8,635,638,jpn,true,false,scientific_journal,null,null,null,1882-2770,null,http://id.ndl.go.jp/bib/024817182,null,false,disclosed
insert,merge,null,25745963,"四高のきのこムラージュ第2 報 : 皮膚ムラージュの祖土肥慶蔵ときのこムラージュの達人山越長七郎","Follow-up report of mystery of fungi moulages used in Japan 4th senior high school Shi-ko - skin moulage by Keizo Doi and fungus moulage by Chousichirou Yamakoshi","[河原 栄,佐久間 大輔,加藤 克,赤石 大輔,古畑 徹]","[河原 栄,佐久間 大輔,加藤 克,赤石 大輔,古畑 徹]",null,"昨年度の金沢大学資料館紀要で、自然科学研究科の新校舎への移転に際して四高時代のきのこの蝋模型が発見され、角間の里記念館を経て金沢大学資料館に移管されることになった経緯を書いた。そして、蝋模型の多くが当時の皮膚科で教育用に作られた皮膚ムラージュと同様の技法で作られていること、東京大学医学部にも同じ標本が保存されていたこと、金沢大学への導入者はドクササコの新種記載を行った事で知られる理学部の市村塘であることが明らかになった。しかし、蝋模型の制作者と、それに続く金沢大学への流入経路が謎として残った。今回、引き続き全国的な調査を継続した中で、民間の教育標本制作者である山越長七郎が中心人物として浮かび上がり、東京大学医学部と密な接触があったことに加え、東大と四高のきのこ蝋模型の製作者であったことが明 らかになったので、ここに報告する。",昨年度の金沢大学資料館紀要で、自然科学研究科の新校舎への移転に際して四高時代のきのこの蝋模型が発見され、角間の里記念館を経て金沢大学資料館に移管されることになった経緯を書いた。そして、蝋模型の多くが当時の皮膚科で教育用に作られた皮膚ムラージュと同様の技法で作られていること、東京大学医学部にも同じ標本が保存されていたこと、金沢大学への導入者はドクササコの新種記載を行った事で知られる理学部の市村塘であることが明らかになった。しかし、蝋模型の制作者と、それに続く金沢大学への流入経路が謎として残った。今回、引き続き全国的な調査を継続した中で、民間の教育標本制作者である山越長七郎が中心人物として浮かび上がり、東京大学医学部と密な接触があったことに加え、東大と四高のきのこ蝋模型の製作者であったことが明らかになったので、ここに報告する。,"金沢大学資料館 = Kanazawa University Musium","金沢大学資料館 = Kanazawa University Musium",2012-03-01,"金沢大学資料館紀要 = Bulletin of The Kanazawa University Musium",金沢大学資料館紀要,7,7,41,52,jpn,false,false,null,null,null,null,null,null,http://hdl.handle.net/2297/30406,null,false,disclosed
insert,merge,null,10342649,null,"Traditional knowledge and landscape management: evaluation and measurement of traditional knowledge on edible wild plants and mushrooms in the satoyama ecosystems in the Noto Peninsula, Japan",null,"[Gulay Cetinkaya,Koji Nakamura,Alphonse Kambu,Akaishi Daisuke,Utsunomiya Daisuke]",null,null,null,null,null,2012,null,"JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT",55,2,141,160,eng,true,false,scientific_journal,null,null,10.1080/09640568.2011.586417,0964-0568,null,null,null,false,disclosed
insert,merge,null,25745961,四髙のキノコ・ムラージュの謎,"Mystery of fungi moulages used in Japan 4th senior high school, Shi-ko","[河原 栄,佐久間 大輔,赤石 大輔]","[河原 栄,佐久間 大輔,赤石 大輔]",null,金沢大学医薬保健研究域保健学系,金沢大学医薬保健研究域保健学系,"金沢大学資料館 = Kanazawa University Museum","金沢大学資料館 = Kanazawa University Museum",2011-03-01,"金沢大学資料館紀要 = Bulletin of the Kanazawa University Museum",金沢大学資料館紀要,6,6,9,22,jpn,false,false,null,null,null,null,null,null,http://hdl.handle.net/2297/27291,null,false,disclosed
insert,merge,null,10342451,"Effects of the red-pine forest management for mushroom cultivation on the ground, below- and above-ground invertebrates in Suzu, Central Japan.","Effects of the red-pine forest management for mushroom cultivation on the ground, below- and above-ground invertebrates in Suzu, Central Japan.","[Linawati,Tanabe\, S,Ohwaki\, A,Akaishi\, D,Putra\, R. E,Trisnawati\, I,Kinasih\, I,Kikuchi\, C,Kasagi\, T,Nagashima\, S,Nakamura\, K]","[Linawati,Tanabe\, S,Ohwaki\, A,Akaishi\, D,Putra\, R. E,Trisnawati\, I,Kinasih\, I,Kikuchi\, C,Kasagi\, T,Nagashima\, S,Nakamura\, K]",null,null,null,null,null,2006-11,"Far Eastern Entomologist","Far Eastern Entomologist",166,null,1,15,eng,true,false,scientific_journal,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,10313011,金沢市の里山におけるキノコ類とキノコ食昆虫の生物多様性と相互作用,"Biodiversity and interactions of macrofungi and mycophagous insects in a satoyama forest, Kanazawa.","[赤石 大輔]","[Daisuke Akaishi]",null,null,null,null,null,2006-03,金沢大学,"Kanazawa University",null,null,null,null,jpn,true,false,doctoral_thesis,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,22483496,コナラ・アベマキ二次林におけるカシノナガキクイムシの初期加害状況,"Initial Stage of an Infestation of Platypus quercivorus (Coleoptera: Platypodidae) in a Secondary Forest Dominated by Quercus serrata and Quercus variabilis","[赤石 大輔,鎌田直人,中村浩二]","[Daisuke Akaishi,Naoto Kamata,Koji Nakamura]",null,null,null,null,null,2006,日本森林学会誌,"Journal of the Japanese Forestry Society",88,4,274,278,jpn,true,false,scientific_journal,null,null,10.4005/jjfs.88.274,null,null,null,null,false,disclosed
insert,merge,null,10313075,"石川県金沢市の温帯葉樹二次林におけるモモグロオオイエバエMuscina angustifrons (Loew)の発生源および季節消長","Seasonal occurrence and food resources of Muscina angustifrons (Loew) in a temperate broad-leaved secondary forest in Kanazawa, Japan","[赤石 大輔,中村 浩二]","[Daisuke Akaishi,Koji Nakamura]",null,"石川県金沢市角間町の金沢大学角間キャンパス内のコナラQuercus serrataおよび, アベマキQ. variabilisが優占する広葉樹二次林において, 2001年から2003年に採集した38種のハラタケ目キノコ子実体から実験室内においてモモグロオオイエバエMuscina angustifrons (Loew)の成虫の羽化を確認した.本種はおもにベニタケ科, テングタケ科, イグチ科などの比較的大型の子実体を形成するキノコ種の子実体から6月から9月まで羽化し, 発生ピークは7月であり, 本種が利用するキノコ種の子実体の発生ピークと同調していた.","From 2001 to 2003, adults of Muscina angustifrons (Loew) were bred from 38 macrofungal species collected from a broad-leaved secondary forest, predominated with two oak species, Quercus serata and Q. variabilis, surrounding the campus of Kanazawa University, Kanazawa city, Ishikawa Prefecture, Japan. This fly species was reared most often from a macrofungal species belonging to the families of Russulaceae, Amanitaceae and Boletaceae that produce large fruit-bodies. The fly emerged from June to September with a peak in July, synchronizing its appearance period with that of the host macrofungi.",日本衛生動物学会,"The Japan Society of Medical Entomology and Zoology",2005-06,衛生動物,"Medical Entomology and Zoology",56,2,135,137,eng,true,false,scientific_journal,null,null,10.7601/mez.56.135,0424-7086,null,http://id.ndl.go.jp/bib/7432490,http://search.jamas.or.jp/link/ui/2006034049,false,disclosed
insert,merge,null,10342613,金沢城公園の動物相（1999-2000年）,null,"[大串龍一,中村浩二,高田謙太,宇都宮大輔,滝本陽介,大脇淳,赤石大輔,高橋 久,川原奈苗,石原一彦]",null,null,null,null,null,null,2004-03,日本海域研究,null,35,null,169,172,jpn,true,false,scientific_journal,null,null,null,null,null,null,null,false,disclosed
